
Converting numbers in file: P2\TC1.txt
Original: 6980368	Binary: 0b11010101000001100010000	Hexadecimal: 0x6a8310
Original: 5517055	Binary: 0b10101000010111011111111	Hexadecimal: 0x542eff
Original: 1336159	Binary: 0b101000110001101011111	Hexadecimal: 0x14635f
Original: 6750185	Binary: 0b11001101111111111101001	Hexadecimal: 0x66ffe9
Original: 1771937	Binary: 0b110110000100110100001	Hexadecimal: 0x1b09a1
Original: 360952	Binary: 0b1011000000111111000	Hexadecimal: 0x581f8
Original: 5672561	Binary: 0b10101101000111001110001	Hexadecimal: 0x568e71
Original: 916583	Binary: 0b11011111110001100111	Hexadecimal: 0xdfc67
Original: 2700138	Binary: 0b1010010011001101101010	Hexadecimal: 0x29336a
Original: 9645053	Binary: 0b100100110010101111111101	Hexadecimal: 0x932bfd
Original: 1181110	Binary: 0b100100000010110110110	Hexadecimal: 0x1205b6
Original: 1492185	Binary: 0b101101100010011011001	Hexadecimal: 0x16c4d9
Original: 4018595	Binary: 0b1111010101000110100011	Hexadecimal: 0x3d51a3
Original: 7654888	Binary: 0b11101001100110111101000	Hexadecimal: 0x74cde8
Original: 7062453	Binary: 0b11010111100001110110101	Hexadecimal: 0x6bc3b5
Original: 2478010	Binary: 0b1001011100111110111010	Hexadecimal: 0x25cfba
Original: 6134768	Binary: 0b10111011001101111110000	Hexadecimal: 0x5d9bf0
Original: 8420417	Binary: 0b100000000111110001000001	Hexadecimal: 0x807c41
Original: 2917489	Binary: 0b1011001000010001110001	Hexadecimal: 0x2c8471
Original: 3340773	Binary: 0b1100101111100111100101	Hexadecimal: 0x32f9e5
Original: 1115956	Binary: 0b100010000011100110100	Hexadecimal: 0x110734
Original: 9172192	Binary: 0b100010111111010011100000	Hexadecimal: 0x8bf4e0
Original: 6271996	Binary: 0b10111111011001111111100	Hexadecimal: 0x5fb3fc
Original: 8686939	Binary: 0b100001001000110101011011	Hexadecimal: 0x848d5b
Original: 50986	Binary: 0b1100011100101010	Hexadecimal: 0xc72a
Original: 9376410	Binary: 0b100011110001001010011010	Hexadecimal: 0x8f129a
Original: 5962327	Binary: 0b10110101111101001010111	Hexadecimal: 0x5afa57
Original: 7686891	Binary: 0b11101010100101011101011	Hexadecimal: 0x754aeb
